Kepolisian/Resort,2016_jumlah,2017_jumlah,2018_jumlah,2016_penyelesaian,2017_penyelesaian,2018_penyelesaian
Pacitan,99,75,157,41,27,99
Ponorogo,545,408,755,502,364,699
Trenggalek,455,443,710,367,358,578
Tulungagung,1029,1014,1403,857,795,1086
Blitar,269,222,531,213,163,494
Kediri,717,715,1012,626,614,951
Malang,1857,2311,2445,1079,1581,1454
Lumajang,501,549,676,287,323,596
Jember,2160,1281,2021,1711,910,1162
Banyuwangi,808,507,1092,624,355,759
Bondowoso,477,403,282,351,278,196
Situbondo,438,442,857,228,243,325
Probolinggo,779,463,1633,637,301,1603
Pasuruan,764,375,618,645,562,459
Sidoarjo,3805,4646,3255,3445,4412,2673
Mojokerto,1114,393,439,1069,335,377
Jombang,1279,1421,1486,1104,1245,1150
Nganjuk,691,519,1198,477,335,943
Madiun,519,327,1019,463,260,945
Magetan,884,779,795,828,738,749
Ngawi,436,560,1235,384,400,1083
Bojonegoro,539,593,428,302,349,433
Tuban,470,413,854,400,309,733
Lamongan,480,339,676,354,267,596
Gresik,617,646,956,400,390,568
Bangkalan,387,296,522,242,176,359
Sampang,253,271,351,180,207,245
Pamekasan,349,322,428,208,218,282
Sumenep,350,236,415,161,53,116
Kediri,628,418,862,527,356,808
Blitar,437,518,810,324,400,740
Malang,2531,820,2445,970,549,931
Probolinggo,840,408,645,710,236,412
Pasuruan,461,625,493,318,260,296
Mojokerto,271,351,403,179,170,322
Madiun,549,525,1000,458,458,936
Surabaya,7817,5197,4205,5392,4822,2557
Batu,141,129,341,97,93,213
Jawa Timur,36746,29960,39453,27160,23912,28928
