caption_text;media_id;link
"Promo spesial edisi HUT ke-41 Suara Surabaya
Diskon 41% di ALL TENANT Food Traffic Suara Surabaya!

Jangan sampai ketinggalan, promo ini HANYA berlaku di bulan JUNI 2024!

Food Traffic Suara Surabaya
Jl Raya Bukit Darmo No 22-24 Surabaya

Syarat dan Ketentuan Berlaku.

#suarasurabayamedia #suarasurabaya #diskonmakanan #diskonsurabaya #surabaya #promosurabaya #kuliner #kulinersurabaya";3381379831442085689;https://www.instagram.com/p/C7tEwqXxpc5/
"HOT DEAL!

Promo spesial edisi HUT SS ke-41
Pasang iklan di Suara Surabaya, dapat potongan 41%! 
Syarat dan Ketentuan Berlaku

Jangan sampai ketinggalan, promo ini HANYA berlaku di bulan JUNI 2024!!

Berlaku untuk semua jenis iklan mulai dari adlibs, talk show on air, iklan pemberitaan, dan semua produk media sosial.

Kapan lagi ngiklan di SS dapet diskon brutal 41%. Don’t miss out!

Contact Us:
- Wawan: 0857-3228-0878
- Yudha: 0857-3073-7995
- Heri: 0813-3426-4068
- Sonia: 0897-9563-665
- Celvina: 0857-4854-9464

#Suarasurabaya #Promosi #Diskon #HUTSS41 #UlangTahun #SS41 #Iklan";3380803740302499479;https://www.instagram.com/p/C7rBxbsCt6X/
"Bulan Juni, bulannya Suara Surabaya Media

Tanggal 11 Juni tahun ini, Suara Surabaya berusia 41 tahun

Tak terasa 41 tahun sudah Suara Surabaya membersamai warga Jawa Timur, khususnya Surabaya dan sekitarnya. Bersama pendengar dan pengakses Suara Surabaya, kita saling berbagi kabar, berdiskusi, berbagi informasi hingga berkontribusi memecahkan masalah bersama-sama

Saatnya kita rayakan #HUTSS41, 41 tahun Suara Surabaya Forty One for Everyone

Pantau dan ikuti keseruan rangkaian acara HUT SS selama bulan Juni ini.. Sampai jumpa!

#Suarasurabaya #Event #HutSS41 #UlangTahunSS #SuaraSurabayaMedia #SSfm100";3380744467995640686;https://www.instagram.com/p/C7q0S6DP0Nu/
"Pemerintah menargetkan sebanyak 18 layanan publik yang terimbas insiden serangan siber Pusat Data Nasional Sementara (PDNS) 2 bisa pulih dan melayani masyarakat pada akhir Juni 2024.

Hal itu disampaikan Usman Kansong Direktur Jenderal Informasi dan Komunikasi Publik Kementerian Komunikasi dan Informatika (Dirjen IKP Kemenkominfo) menyusul informasi mengenai lima instansi yang layanannya kembali normal setelah terimbas insiden PDNS 2 setelah hampir satu pekan berlangsung.

“Kami berharap setiap hari bertambah tenant-tenant dan Kementerian serta Lembaga yang layanannya pulih, akhir bulan ini kami targetkan 18 tenant sudah recovery,” kata Usman dalam konferensi pers di Kementerian Kominfo, Jakarta Pusat, Rabu (26/6/2024).

Adapun lima instansi yang dimaksud Usman dan layanannya sudah kembali pulih dan beroperasi melayani masyarakat setelah melakukan migrasi data usai insiden PDNS 2 ialah layanan keimigrasian dari Direktorat Jenderal Imigrasi yang ada di Kementerian Hukum dan HAM, lalu ada juga layanan dari Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah (LKPP) bernama Sikap.

Disusul layanan perizinan kegiatan dari Kementerian Koordinator Bidang Kemaritiman dan Investasi (Kemenkomarves), lalu ada juga layanan ASN Digital Kota Kediri, dan juga layanan dari Kementerian Agama SiHalal.

Usman lebih lanjut mengatakan target pemulihan layanan publik untuk 18 instansi itu merupakan langkah jangka pendek dan hal itu dibarengi juga dengan proses penyelidikan digital forensik yang masih terus berjalan.

“Tentu kami, Kementerian Kominfo, Telkom, BSSN, dan instansi terkait lainnya berupaya maksimal melakukan pemulihan secara baik dan cepat agar akses terhadap pelayanan publik tidak terganggu terlalu lama,” katanya seperti dilansir Antara.

Simak selengkapnya di suarasurabaya.net, atau download aplikasi Suara Surabaya Mobile di App Store dan Google Play.

#newSS #beritaterbaru #newsupdate #suarasurabaya #suarasurabayamedia #radiosuarasurabaya #trendingtopic #news #info #beritaterkini";3399444283877419505;https://www.instagram.com/p/C8tQJCuPunx/
"Jika kita memikirkan tentang expo kesehatan, sepertinya hanya ada stan dan paket promosi.​

​Tidak hanya itu, mari kita aktif dengan kegiatan Poundfit dan Zumba.​

​Untuk Poundfit kita akan bersama Poundpro Anastasia, dan jangan lupa Zumba yang akan dipimpin oleh Zin Reno & Zin Rony.​

​Jangan lupa kode pakaiannya, warna MERAH, teman-teman.​

​Ketemu kami di:​
📍: Atrium Tunjungan Plaza 3, Surabaya ​
​
Jangan lewatkan acara yang menarik ini! Sampai jumpa di sana!​
​
Untuk pertanyaan terkait perawatan kesehatan dan Wisata Kesehatan, hubungi kami melalui WhatsApp di +6019-324 3208 atau email kami di medtourism@kpjhealth.com.my​

​#kpjpeduli #kpjhealthcare #wisatakesehatan​ #ADV";3399435427814099289;https://www.instagram.com/p/C8tOIK3vMlZ/
"Logianto Hari (71 tahun) diduga menjadi korban tabrak lari di Jalan Embong Malang, Surabaya depan mal Tunjungan Plaza, Minggu (23/6/2024) siang sekitar pukul 12.30 WIB.

Kejadian itu diutarakan Jannice Michelle cucu Logianto waktu mengudara di Radio Suara Surabaya, Rabu (26/6/2024). Saat itu korban sedang mengantar cucunya atau adiknya Jannice menggunakan sepeda motor.

Jannice mengatakan, tiba-tiba ia mendapat telepon dari grup keluarganya dan mendapat kabar bahwa kakeknya mengalami kecelakaan tabrak lari.

Kakeknya mengalami luka patah lima tulang iganya dan pendarahan di kepala. Korban langsung dibawa ke RS Adi Husada Surabaya untuk segera mendapat perawatan.

Sementara itu, pihaknya juga berupaya membuat laporan ke Unit Laka Lantas Polrestabes Surabaya Dukuh Pakis terkait kecelakaan itu. Tujuannya untuk melihat CCTV di sekitar lokasi supaya mengetahui kronologi kecelakaan

Namun Jannice mengklaim aparat kepolisian tidak langsung memproses laporan tersebut. Alasan polisi yang disebutkan Jannie, karena tidak ada saksi mata.

“Kita butuh CCTV supaya tahu itu. Tapi mereka gak mau maju, karena untuk saksi kan harus butuh KTP. Karena harus berurusan dengan polisi, mereka kan juga takut,” ujarnya.

Kasus ini pun diposting Jannice di sosial media instagramnya dengan nama pengguna @/janicemichellee dan menjadi perhatian publik.

Dikonfirmasi terpisah, AKBP Arif Fazlurrahman Kasat Lantas Polrestabes Surabaya membantah bahwa korban tidak diproses oleh pihak kepolisian.

“Jadi tidak benar pada saat hadir pertama kali tidak dilayani. Karena awal mereka datang tidak memberikan informasi detail peristiwa. Sehingga belum dikategori laporan kepolisian tapi aduan. Karena tidak membawa identitas dan lain-lain,” ujar Arif kepada suarasurabaya.net.

Korban sudah secara resmi membuat laporan kepolisian. Arif juga menyebut, sebelum korban hadir, pihaknya sudah melakukan pra olah TKP. Polisi pun sudah melakukan pengecekan CCTV di sekitaran lokasi.

Dari hasil kesimpulan sementara pra olah TKP, Arif menyatakan peristiwa kecelakaan itu bukan antara roda dua dan roda empat seperti yang disampaikan korban sebelumnya. Namun kecelakaan itu disebabkan antara kendaraan roda dua.";3399300985497592778;https://www.instagram.com/p/C8svjxtOCPK/
"Dalam rangka HUT ke-41, Suara Surabaya Media menggelar Wawasan Series bertajuk “Berantas Gangguan Keamanan dan Ketertiban Umum” pada Kamis (27/6/2024).

Acara yang berlangsung di Gedung Hall Suara Surabaya Centre (SSC) di Jalan Raya Bukit Darmo No.22-24 Surabaya tersebut, akan mengupas tuntas tentang masalah keamanan dan dan ketertiban umum di Kota Pahlawan

Eddy Prastyo Editor in Chief Suara Surabaya Media menjelaskan, keamanan dan ketertiban umum (Kamtibmum) menjadi kebutuhan absolut untuk setiap warga. Kamtibmum meliputi perlindungan terhadap individu dan properti serta menjaga ketenteraman sosial.

Akan tetapi, dari beberapa kejadian dan dinamika Kota Surabaya dalam beberapa waktu terakhir, seperti yang banyak dilaporkan ke Suara Surabaya, masalah Kamtibmum banyak dikeluhkan oleh masyarakat.

Mulai dari tawuran pelajar, pemuda perusuh, perampokan, begal, serta yang paling banyak mendapat sorotan tajam dari masyarakat adalah maraknya pencurian motor atau curanmor.

“Berdasarkan data, sepanjang 2023 lalu terdapat total 1.397 kasus kriminalitas yang dilaporkan pendengar Radio Suara Surabaya, mulai begal hingga pencurian motor,” terang Eddy.

“Laporan terkait pencurian motor mendominasi dengan 1.337 kasus. Sedangkan jambret atau begal sebanyak 60 kasus. Dengan demikian, rata-rata pendengar Surabaya mengalami emoat hingga lima kasus kriminalitas setiap harinya,” imbuh alumnus Universitas Airlangga tersebut.

Oleh karena itu, Suara Surabaya melalui program Wawasan Series “Berantas Gangguan Keamanan dan Ketertiban Umum”, hadir memberikan wadah untuk berdiskusi mengenai permasalahan yang sedang dihadapi. Melalui program ini, Suara Surabaya Media mengajak seluruh pihak duduk bersama dalam sebuah Focus Group Discussion (FGD) untuk berkolaborasi dan menciptakan komitmen bersama untuk kenyamanan warga Surabaya. 

Simak selengkapnya di suarasurabaya.net, atau download aplikasi Suara Surabaya Mobile di App Store dan Google Play.

#newSS #beritaterbaru #newsupdate #suarasurabaya #suarasurabayamedia #radiosuarasurabaya #trendingtopic #news #info #beritaterkini";3399021092294006659;https://www.instagram.com/p/C8rv6y2PpeD/
"Angka kasus narkoba di Provinsi Jawa Timur menempati urutan kedua secara nasional. Hal itu diutarakan Brigjen Brigjen Mohammad Aris Purnomo Kepala Badan Narkotika Nasional Provinsi (BNNP) Jawa Timur.

Aris mengungkapkan, kasus penyalahgunaan narkoba di Jatim mencapai 5.000-6.000 kasus per tahunnya. Meliputi penyalahgunaan narkotika jenis ganja hingga sabu-sabu dengan rata-rata tersangka mencapai 6.000 orang.

Kepala BNNP Jatim itu menyebut, tingginya angka kasus di provinsi ini karena sejalan dengan penindakan dan proses hukum yang dilakukan dalam mengungkap kasus-kasus narkoba.

“Kita karena penduduk banyak dan karena penindakan hukum cukup intens sehingga banyak (kasus terungkap),” ungkap Aris dalam
Peringatan Hari Anti Narkotika Internasional (HANI) di Gedung Cak Durasim Surabaya, Rabu (26/6/2024).

Aris menambahkan, kota-kota besar di Jawa Timur seperti Surabaya, Madura, Mojokerto masih mendominasi peta rawan narkoba.

BNNP Jatim pun telah melakukan berbagai upaya untuk menekan penyalahgunaan narkoba. Salah satunya membentuk 71 desa/kelurahan bersinar.

Pembentukan desa/kelurahan bersinar itu untuk tujuan supaya masyarakat memiliki ketahanan diri dan daya tangkal terhadap penyalahgunaan Narkotika.

Bidang pencegahan dan pemberdayaan masyarakat, lanjut Aris, telah mengkampanyekan dan penggiat P4GN dengan jumlah 8.711 peserta serta program deteksi dini tes urine di lingkungan pemerintah, swasta, pendidikan dan masyarakat dengan total keseluruhan 21.885 peserta.

Terkait upaya rehabilitasi bagi para pecandu dan penyalahguna narkotika, Aris lebih mengedepankan intervensi di lingkungan komunitas masyarakat.

Simak selengkapnya di suarasurabaya.net, atau download aplikasi Suara Surabaya Mobile di App Store dan Google Play.

#newSS #beritaterbaru #newsupdate #suarasurabaya #suarasurabayamedia #radiosuarasurabaya #trendingtopic #news #info #beritaterkini";3399013752495580587;https://www.instagram.com/p/C8ruP_IKqWr/
"Selama Operasi Sikat Semeru pada 3-14 Juni 2024 Polrestabes Surabaya berhasil mengungkap 405 kasus kriminalitas. Dari jumlah tersebut, 298 kasus di antaranya merupakan kasus curanmor. Berikut detailnya

#Suarasurabaya #Suarasurabayamedia #Curanmor #Curas #Curat #Operasi #SikatSemeru #InfografiSS";3399007042080194043;https://www.instagram.com/p/C8rsuVkPb37/
"Ivan Yustiavandana Kepala Pusat Pelaporan dan Analisis Transaksi Keuangan (PPATK) dalam rapat kerja bersama Komisi III DPR di Kompleks Parlemen, Jakarta, Rabu (26/6/2024) mengatakan ada lebih dari 1.000 orang yang terlibat judi online atau daring.

Angka yang dipotret PPATK itu terdiri dari legislator yang duduk di DPR dan DPRD, serta mereka yang bekerja di lingkungan Sekretariat Jenderal DPR maupun DPRD.

Habiburokhman Wakil Ketua Komisi III DPR RI turut menanggapi pernyataan perihal fenomena judi daring yang kian marak hingga anggota sejumlah institusi ikut terpapar, dan sudah merembet di lingkungan profesi legislatif.

#suarasurabaya #suarasurabayamedia #SSemenit #judionline #DPR #DPRD";3398983590055815483;https://www.instagram.com/p/C8rnZEKqKk7/
